date,menu__id,menu__name,menu__type,menu__beli,menu__jual,menu__quantity,idToko,namaToko
6/30/2024,10006,Berry Grape Sundae,Ice Cream,0,16000,8,,
6/30/2024,10014,Boba Mi-Shake (U),Ice Cream,10613,16000,1,,
6/30/2024,10010,Boba Sundae (U),Ice Cream,14448,16000,47,,
6/30/2024,10021,Brown Sugar Pearl Milk Tea (M),Milk Tea,0,19000,2,,
6/30/2024,10025,Coconut Jelly Milk Tea (M),Milk Tea,0,19000,1,,
6/30/2024,10040,Coconut Jelly Milk Tea (L),Milk Tea,0,22000,6,,
6/30/2024,10045,Cone Packing Charge,Ice Cream,0,2000,78,,
6/30/2024,10016,Creamy Mango Boba (M),Ice Cream,15033,22000,3,,
6/30/2024,10044,Earl Grey Tea With 2 Topping (M),Original Tea,0,13000,1,,
6/30/2024,10028,Fresh Squeezed Lemonade (L),Fruit Tea,2690,10000,27,,
6/30/2024,10032,Hawaiian Fruit Tea (L),Fruit Tea,8165,22000,2,,
6/30/2024,10007,Ice Cream Cone,Ice Cream,4640,8000,85,,
6/30/2024,10002,Ice Cream Earl Gray Tea (M),Ice Cream,10348,13000,1,MX0001,Mixue Sukataris
6/30/2024,10033,Kiwi Fruit Tea (L),Fruit Tea,6336,15000,42,,
6/30/2024,10005,Kiwi Grape Sundae,Ice Cream,13489,16000,2,,
6/30/2024,10020,Kiwi Smoothies (U),Ice Cream,7812,16000,1,,
6/30/2024,10030,Lemon Earl Grey Tea (L),Fruit Tea,2852,12000,5,,
6/30/2024,10029,Lemon Jasmine Tea (L),Fruit Tea,6105,12000,2,,
6/30/2024,10012,Lucky Sundae Chocolate (U),Ice Cream,15396,16000,1,,
6/30/2024,10011,Lucky Sundae Strawberry (U),Ice Cream,15427,16000,51,,
6/30/2024,10034,Mango Oats Jasmine Tea (M),Fruit Tea,6769,16000,1,,
6/30/2024,10042,Milk Tea With 2 Topping (L),Milk Tea,0,19000,1,,
6/30/2024,10026,Milk Tea With 2 Topping (M),Milk Tea,0,19000,1,,
6/30/2024,10009,Mi-Sundae Mango (U),Ice Cream,14725,16000,22,,
6/30/2024,10008,Mi-Sundae Oreo (U),Ice Cream,14093,16000,25,,
6/30/2024,10013,Mi-Sundae Red Bean (U),Ice Cream,11988,16000,1,,
6/30/2024,10023,Oats Milk Tea (M),Milk Tea,0,19000,2,,
6/30/2024,10036,Original Earl Grey Tea (L),Original Tea,5507,10000,2,,
6/30/2024,10035,Original Jasmine Tea (L),Original Tea,6884,10000,3,,
6/30/2024,10043,Peach Earl Grey Tea (L),Fruit Tea,8678,16000,2,,
6/30/2024,10004,peach oatmeal sundae ,Ice Cream,4657,16000,3,,
6/30/2024,10022,Pearl Milk Tea (L),Milk Tea,0,22000,1,,
6/30/2024,10038,Pearl Milk Tea (M),Milk Tea,0,19000,2,,
6/30/2024,10024,Red Bean Milk Tea (M),Milk Tea,0,19000,1,,
6/30/2024,10001,Smoothies With Ice Cream Manggo (U),Ice Cream,5709,16000,3,,
6/30/2024,10018,Smoothies With Ice Cream Strawberry (U),Ice Cream,5810,16000,1,,
6/30/2024,10015,Strawberry Mi-Shake (U),Ice Cream,10399,16000,2,,
6/30/2024,10003,Sundae,Ice Cream,11824,16000,4,,
6/30/2024,10027,Supreme Mixed Milk Tea (L),Milk Tea,0,22000,1,,
6/30/2024,10046,Tambah Topping,Fruit Tea,0,2000,2,,
6/30/2024,10050,Tumbler pink,Ice Cream,0,40000,1,,
6/30/2024,10052,Tumbler ximeng,Ice Cream,0,14000,1,,
6/29/2024,10006,Berry Grape Sundae,Ice Cream,0,16000,1,,
6/29/2024,10014,Boba Mi-Shake (U),Ice Cream,10613,16000,1,,
6/29/2024,10010,Boba Sundae (U),Ice Cream,14448,16000,16,,
6/29/2024,10021,Brown Sugar Pearl Milk Tea (M),Milk Tea,0,19000,1,,
6/29/2024,10025,Coconut Jelly Milk Tea (M),Milk Tea,0,19000,2,,
6/29/2024,10040,Coconut Jelly Milk Tea (L),Milk Tea,0,22000,2,,
6/29/2024,10045,Cone Packing Charge,Ice Cream,0,2000,31,,
6/29/2024,10016,Creamy Mango Boba (M),Ice Cream,15033,22000,3,,
6/29/2024,10028,Fresh Squeezed Lemonade (L),Fruit Tea,2690,10000,9,,
6/29/2024,10007,Ice Cream Cone,Ice Cream,4640,8000,37,,
6/29/2024,10002,Ice Cream Earl Gray Tea (M),Ice Cream,10348,13000,1,MX0001,Mixue Sukataris
6/29/2024,10037,Jasmine Tea With 2 Topping (M),Fruit Tea,5765,13000,1,,
6/29/2024,10033,Kiwi Fruit Tea (L),Fruit Tea,6336,15000,20,,
6/29/2024,10030,Lemon Earl Grey Tea (L),Fruit Tea,2852,12000,1,,
6/29/2024,10029,Lemon Jasmine Tea (L),Fruit Tea,6105,12000,2,,
6/29/2024,10012,Lucky Sundae Chocolate (U),Ice Cream,15396,16000,1,,
6/29/2024,10011,Lucky Sundae Strawberry (U),Ice Cream,15427,16000,10,,
6/29/2024,10009,Mi-Sundae Mango (U),Ice Cream,14725,16000,14,,
6/29/2024,10008,Mi-Sundae Oreo (U),Ice Cream,14093,16000,12,,
6/29/2024,10013,Mi-Sundae Red Bean (U),Ice Cream,11988,16000,2,,
6/29/2024,10036,Original Earl Grey Tea (L),Original Tea,5507,10000,2,,
6/29/2024,10035,Original Jasmine Tea (L),Original Tea,6884,10000,2,,
6/29/2024,10043,Peach Earl Grey Tea (L),Fruit Tea,8678,16000,5,,
6/29/2024,10004,peach oatmeal sundae ,Ice Cream,4657,16000,1,,
6/29/2024,10001,Smoothies With Ice Cream Manggo (U),Ice Cream,5709,16000,1,,
6/29/2024,10018,Smoothies With Ice Cream Strawberry (U),Ice Cream,5810,16000,2,,
6/29/2024,10015,Strawberry Mi-Shake (U),Ice Cream,10399,16000,5,,
6/29/2024,10003,Sundae,Ice Cream,11824,16000,2,,
6/28/2024,10006,Berry Grape Sundae,Ice Cream,0,16000,5,,
6/28/2024,10010,Boba Sundae (U),Ice Cream,14448,16000,27,,
6/28/2024,10021,Brown Sugar Pearl Milk Tea (M),Milk Tea,0,19000,1,,
6/28/2024,10025,Coconut Jelly Milk Tea (M),Milk Tea,0,19000,1,MX0001,Mixue Sukataris
6/28/2024,10040,Coconut Jelly Milk Tea (L),Milk Tea,0,22000,2,,
6/28/2024,10045,Cone Packing Charge,Ice Cream,0,2000,64,,
6/28/2024,10016,Creamy Mango Boba (M),Ice Cream,15033,22000,2,,
6/28/2024,10028,Fresh Squeezed Lemonade (L),Fruit Tea,2690,10000,61,,
6/28/2024,10007,Ice Cream Cone,Ice Cream,4640,8000,82,,
6/28/2024,10017,Ice Cream Jasmine Tea (M),Ice Cream,9895,13000,1,,
6/28/2024,10033,Kiwi Fruit Tea (L),Fruit Tea,6336,15000,15,,
6/28/2024,10005,Kiwi Grape Sundae,Ice Cream,13489,16000,4,,
6/28/2024,10020,Kiwi Smoothies (U),Ice Cream,7812,16000,3,,
6/28/2024,10030,Lemon Earl Grey Tea (L),Fruit Tea,2852,12000,2,,
6/28/2024,10029,Lemon Jasmine Tea (L),Fruit Tea,6105,12000,6,,
6/28/2024,10011,Lucky Sundae Strawberry (U),Ice Cream,15427,16000,24,,
6/28/2024,10034,Mango Oats Jasmine Tea (M),Fruit Tea,6769,16000,1,,
6/28/2024,10042,Milk Tea With 2 Topping (L),Milk Tea,0,19000,1,,
6/28/2024,10009,Mi-Sundae Mango (U),Ice Cream,14725,16000,28,,
6/28/2024,10008,Mi-Sundae Oreo (U),Ice Cream,14093,16000,32,,
6/28/2024,10013,Mi-Sundae Red Bean (U),Ice Cream,11988,16000,5,,
6/28/2024,10023,Oats Milk Tea (M),Milk Tea,0,19000,1,,
6/28/2024,10036,Original Earl Grey Tea (L),Original Tea,5507,10000,3,,
6/28/2024,10035,Original Jasmine Tea (L),Original Tea,6884,10000,2,,
6/28/2024,10043,Peach Earl Grey Tea (L),Fruit Tea,8678,16000,5,,
6/28/2024,10004,peach oatmeal sundae ,Ice Cream,4657,16000,2,,
6/28/2024,10022,Pearl Milk Tea (L),Milk Tea,0,22000,2,,
6/28/2024,10024,Red Bean Milk Tea (M),Milk Tea,0,19000,1,,
6/28/2024,10001,Smoothies With Ice Cream Manggo (U),Ice Cream,5709,16000,3,,
6/28/2024,10018,Smoothies With Ice Cream Strawberry (U),Ice Cream,5810,16000,3,,
6/28/2024,10015,Strawberry Mi-Shake (U),Ice Cream,10399,16000,6,,
6/28/2024,10003,Sundae,Ice Cream,11824,16000,1,,
6/28/2024,10027,Supreme Mixed Milk Tea (L),Milk Tea,0,22000,1,,
6/28/2024,10052,Tumbler ximeng,Ice Cream,0,14000,1,,
6/27/2024,10006,Berry Grape Sundae,Ice Cream,0,16000,1,,
